panel,global_anno,gene,celltype,median_pearson_r,row_zscore,is_designated
a,Major celltypes,CDH1,Epithelial,0.319063965663315,2.438131529520567,True
a,Major celltypes,CDH1,T cell,-0.186790203061809,-0.5453392079069833,False
a,Major celltypes,CDH1,B cell,-0.157684368180698,-0.3736762820581331,False
a,Major celltypes,CDH1,Myeloid,-0.135140262594361,-0.24071369426761577,False
a,Major celltypes,CDH1,Endothelial,-0.16344323517794,-0.40764142899032124,False
a,Major celltypes,CDH1,Fibroblast,-0.182956295409392,-0.5227272537151002,False
a,Major celltypes,CDH1,Mural,-0.153336604418145,-0.3480336625824136,False
a,Major celltypes,CD3E,Epithelial,-0.1469891652402435,-1.861857697405651,False
a,Major celltypes,CD3E,T cell,0.219382366370694,1.3989584520883003,True
a,Major celltypes,CD3E,B cell,0.1784668690890355,1.0347982955554806,False
a,Major celltypes,CD3E,Myeloid,0.1076095193116815,0.4041467013980491,False
a,Major celltypes,CD3E,Endothelial,0.0387614575738523,-0.2086216285781873,False
a,Major celltypes,CD3E,Fibroblast,0.02427825473184805,-0.3375264632850395,False
a,Major celltypes,CD3E,Mural,0.013899817192748149,-0.4298976597729515,False
a,Major celltypes,CD79A,Epithelial,-0.159988566474836,-1.7762844571472731,False
a,Major celltypes,CD79A,T cell,0.190953609975746,1.0504803038161867,False
a,Major celltypes,CD79A,B cell,0.256735018018781,1.5803355867100455,True
a,Major celltypes,CD79A,Myeloid,0.05776268523534,-0.022344331695620463,False
a,Major celltypes,CD79A,Endothelial,0.0323946018307461,-0.22667886038224525,False
a,Major celltypes,CD79A,Fibroblast,0.0311104933671883,-0.2370220815668647,False
a,Major celltypes,CD79A,Mural,0.0147892591582974,-0.36848615973422855,False
a,Major celltypes,CD68,Epithelial,-0.17929963579977198,-1.7344635597294011,False
a,Major celltypes,CD68,T cell,0.156764355061501,0.6326197514808312,False
a,Major celltypes,CD68,B cell,0.1034523899938675,0.25711429349943477,False
a,Major celltypes,CD68,Myeloid,0.31972886110198695,1.7804682953829685,True
a,Major celltypes,CD68,Endothelial,0.023730015277572403,-0.3044141887320634,False
a,Major celltypes,CD68,Fibroblast,0.04739085095187835,-0.13775792451761787,False
a,Major celltypes,CD68,Mural,-0.003124695140128135,-0.49356666738415156,False
a,Major celltypes,RAMP2,Epithelial,-0.154602686476036,-1.881799869450489,False
a,Major celltypes,RAMP2,T cell,0.05670937469222475,-0.14834249331954721,False
a,Major celltypes,RAMP2,B cell,0.05354874486612965,-0.17427010509416052,False
a,Major celltypes,RAMP2,Myeloid,0.03708462531986715,-0.30933030615975426,False
a,Major celltypes,RAMP2,Endothelial,0.2720813891230065,1.6184199194039814,True
a,Major celltypes,RAMP2,Fibroblast,0.08288986082139049,0.06642403037244114,False
a,Major celltypes,RAMP2,Mural,0.175837124769817,0.8288988242475286,False
a,Major celltypes,COL1A1,Epithelial,-0.5543744732925671,-2.1194448450433785,False
a,Major celltypes,COL1A1,T cell,0.1644872265256785,-0.04996654955293265,False
a,Major celltypes,COL1A1,B cell,0.145912548788791,-0.10343982881087231,False
a,Major celltypes,COL1A1,Myeloid,0.2362904584942615,0.1567425158244808,False
a,Major celltypes,COL1A1,Endothelial,0.251637747689922,0.20092470259707512,False
a,Major celltypes,COL1A1,Fibroblast,0.704076871299723,1.5034185572257697,True
a,Major celltypes,COL1A1,Mural,0.32487617535980196,0.41176544775985785,False
a,Major celltypes,ACTA2,Epithelial,-0.34207927875021,-1.9779607085770283,False
a,Major celltypes,ACTA2,T cell,0.0685319928167299,-0.2675808320619132,False
a,Major celltypes,ACTA2,B cell,0.061244575166029,-0.29793619092470053,False
a,Major celltypes,ACTA2,Myeloid,0.0642012766699403,-0.28562020472721145,False
a,Major celltypes,ACTA2,Endothelial,0.2785073842000505,0.6070607300532866,False
a,Major celltypes,ACTA2,Fibroblast,0.38386073859210745,1.0459046433922885,False
a,Major celltypes,ACTA2,Mural,0.4151245837380525,1.1761325628452783,True
b,B cell,CD72,Bn,0.07101989258325306,0.04797574489323245,True
b,B cell,CD72,NR4A2+ Bn,0.07655801802875184,0.6827682990011151,False
b,B cell,CD72,Bgc,0.07951182992640099,1.0213409473305144,False
b,B cell,CD72,Bmem,0.07359008650282439,0.34257722671472185,False
b,B cell,CD72,ABC,0.08234809061704385,1.3464396085376753,False
b,B cell,CD72,Plasma,0.06457914279690344,-0.6902776672915195,False
b,B cell,CD72,Cycling Bgc,0.0619701798148473,-0.9893229473688067,False
b,B cell,CD72,Plasmablast,0.05523345918520605,-1.7615012118169289,False
b,B cell,CREM,Bn,0.02906069940732295,0.21581873448159425,False
b,B cell,CREM,NR4A2+ Bn,0.03192510735888445,2.189804192214206,True
b,B cell,CREM,Bgc,0.0270634356469812,-1.1605807466124691,False
b,B cell,CREM,Bmem,0.02898058283955115,0.16060699705474865,False
b,B cell,CREM,ABC,0.02767141009659365,-0.7415996718134964,False
b,B cell,CREM,Plasma,0.027718031574673098,-0.7094708265850573,False
b,B cell,CREM,Cycling Bgc,0.02965780939494415,0.627312646020488,False
b,B cell,CREM,Plasmablast,0.02790315945292185,-0.581891324760007,False
b,B cell,CD40,Bn,0.0933531287413962,0.7763803658810512,False
b,B cell,CD40,NR4A2+ Bn,0.09530137840793805,1.0379162559892245,False
b,B cell,CD40,Bgc,0.0945376308761527,0.9353896681633668,True
b,B cell,CD40,Bmem,0.08926576897203464,0.2276872010210373,False
b,B cell,CD40,ABC,0.0926501418080201,0.6820103698213165,False
b,B cell,CD40,Plasma,0.07494533921624935,-1.6947082738663333,False
b,B cell,CD40,Cycling Bgc,0.0783820852712816,-1.2333544473960105,False
b,B cell,CD40,Plasmablast,0.08212186348709485,-0.7313211396136545,False
b,B cell,GPR183,Bn,0.128449432604998,0.358425613884542,False
b,B cell,GPR183,NR4A2+ Bn,0.13306610963586,0.6955863028627158,False
b,B cell,GPR183,Bgc,0.131454794933758,0.5779103269411486,False
b,B cell,GPR183,Bmem,0.130745072691567,0.5260785790062974,True
b,B cell,GPR183,ABC,0.134712679641256,0.8158370099749819,False
b,B cell,GPR183,Plasma,0.12681709968986,0.23921465616958956,False
b,B cell,GPR183,Cycling Bgc,0.0923977605054494,-2.2744652127084275,False
b,B cell,GPR183,Plasmablast,0.110689682391492,-0.9385872761308407,False
b,B cell,HCK,Bn,0.07096254204694286,-0.49056843808032397,False
b,B cell,HCK,NR4A2+ Bn,0.0797271331224979,0.679457828437227,False
b,B cell,HCK,Bgc,0.08096511483262606,0.8447217986363754,False
b,B cell,HCK,Bmem,0.07313487144218056,-0.20057402418859097,False
b,B cell,HCK,ABC,0.08375200467801895,1.2167567621494022,True
b,B cell,HCK,Plasma,0.0780377115726408,0.45392904203820855,False
